CLASS,PERCENTAGE
vehicle,76.5875518321991
vehicle,78.23712825775146
vehicle,66.77694916725159
vehicle,68.8174307346344
vehicle,74.79338049888611
vehicle,83.87919068336487
vehicle,66.48585796356201
vehicle,68.84615421295166
vehicle,74.947190284729
vehicle,83.86544585227966
vehicle,66.46555066108704
vehicle,68.86414289474487
vehicle,74.96733069419861
vehicle,83.8682472705841
vehicle,72.83796072006226
vehicle,68.7920331954956
vehicle,67.51240491867065
vehicle,78.00672054290771
vehicle,72.8557825088501
vehicle,68.790203332901
vehicle,66.53351187705994
vehicle,77.81731486320496
vehicle,41.15776717662811
vehicle,65.27404189109802
vehicle,71.9766914844513
vehicle,82.7250599861145
vehicle,41.059720516204834
vehicle,65.24720191955566
vehicle,72.01465368270874
vehicle,82.70092010498047
vehicle,41.2058025598526
vehicle,65.22542834281921
vehicle,72.00866937637329
vehicle,82.69503712654114
vehicle,65.24826288223267
vehicle,73.4101414680481
vehicle,80.47314286231995
vehicle,65.18597602844238
vehicle,73.19055199623108
vehicle,80.4688811302185
vehicle,65.18360376358032
vehicle,73.23792576789856
vehicle,80.50863742828369
vehicle,38.55343461036682
vehicle,54.46401238441467
vehicle,66.25486612319946
vehicle,69.81715559959412
vehicle,79.2742669582367
vehicle,40.52651822566986
vehicle,54.373133182525635
vehicle,66.33803844451904
vehicle,69.85523104667664
vehicle,79.27039861679077
vehicle,55.38864731788635
vehicle,62.913721799850464
vehicle,65.01355171203613
vehicle,82.19115138053894
vehicle,75.28326511383057
vehicle,55.448758602142334
vehicle,62.93269395828247
vehicle,64.84720706939697
vehicle,82.36475586891174
vehicle,75.30769109725952
vehicle,55.69874048233032
vehicle,62.90442943572998
vehicle,64.82622623443604
vehicle,82.37879872322083
vehicle,75.29368996620178
vehicle,74.61140155792236
vehicle,59.02132987976074
vehicle,67.49247908592224
vehicle,76.66209936141968
vehicle,82.09671378135681
vehicle,74.79925751686096
vehicle,58.357471227645874
vehicle,67.33840107917786
vehicle,76.63930654525757
vehicle,82.3954164981842
vehicle,74.81244802474976
vehicle,57.945191860198975
vehicle,67.3292875289917
vehicle,76.78943276405334
vehicle,82.55714178085327
vehicle,48.370495438575745
vehicle,66.35475158691406
vehicle,64.06481266021729
vehicle,79.77576851844788
vehicle,63.940829038619995
vehicle,48.141396045684814
vehicle,65.95808863639832
vehicle,63.80435228347778
vehicle,79.7482967376709
vehicle,63.7088418006897
vehicle,45.54217457771301
vehicle,50.95047950744629
vehicle,60.39421558380127
vehicle,83.26107263565063
vehicle,45.844680070877075
vehicle,51.29801630973816
vehicle,60.603392124176025
vehicle,83.20017457008362
vehicle,45.84225118160248
vehicle,51.284098625183105
vehicle,60.520076751708984
vehicle,83.19041728973389
vehicle,52.86557674407959
vehicle,55.40255308151245
vehicle,41.51655733585358
vehicle,73.48591089248657
vehicle,81.32821321487427
